Left,Right,Date
Abilene Christian Wildcats,Schreiner,11/11/2016
Abilene Christian Wildcats,New Hampshire Wildcats,11/17/2016
Abilene Christian Wildcats,Charleston Southern Buccaneers,11/22/2016
Abilene Christian Wildcats,Howard Payne,11/27/2016
Abilene Christian Wildcats,New Mexico Lobos,11/30/2016
Abilene Christian Wildcats,Charleston Southern Buccaneers,12/3/2016
Abilene Christian Wildcats,Northern N.M.,12/10/2016
Abilene Christian Wildcats,Randall,12/14/2016
Abilene Christian Wildcats,Sacramento State Hornets,12/17/2016
Abilene Christian Wildcats,San Francisco Dons,12/19/2016
Abilene Christian Wildcats,New Orleans Privateers,12/29/2016
Abilene Christian Wildcats,Southeastern Louisiana Lions,12/31/2016
Abilene Christian Wildcats,Central Arkansas Bears,1/5/2017
Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,1/7/2017
Abilene Christian Wildcats,Southeastern Louisiana Lions,1/12/2017
Abilene Christian Wildcats,Lamar Cardinals,1/14/2017
Abilene Christian Wildcats,Nicholls Colonels,1/19/2017
Abilene Christian Wildcats,Incarnate Word Cardinals,1/26/2017
Abilene Christian Wildcats,Texas A&M-Corpus Christi Islanders,1/28/2017
Abilene Christian Wildcats,New Orleans Privateers,2/1/2017
Abilene Christian Wildcats,Sam Houston State Bearkats,2/4/2017
Abilene Christian Wildcats,Central Arkansas Bears,2/9/2017
Abilene Christian Wildcats,Northwestern State Demons,2/11/2017
Abilene Christian Wildcats,McNeese State Cowboys,2/16/2017
Abilene Christian Wildcats,Texas A&M-Corpus Christi Islanders,2/22/2017
Abilene Christian Wildcats,Sam Houston State Bearkats,2/25/2017
Abilene Christian Wildcats,Incarnate Word Cardinals,3/1/2017
Abilene Christian Wildcats,Houston Baptist Huskies,3/4/2017
Air Force Falcons,McPherson,11/11/2016
Air Force Falcons,Jacksonville Dolphins,11/14/2016
Air Force Falcons,Johnson & Wales (CO),11/15/2016
Air Force Falcons,Florida A&M Rattlers,11/20/2016
Air Force Falcons,Stetson Hatters,11/22/2016
Air Force Falcons,Akron Zips,11/25/2016
Air Force Falcons,New Mexico State Aggies,11/30/2016
Air Force Falcons,Missouri State Bears,12/3/2016
Air Force Falcons,Army West Point Black Knights,12/7/2016
Air Force Falcons,Denver Pioneers,12/10/2016
Air Force Falcons,UC Davis Aggies,12/22/2016
Air Force Falcons,Wyoming Cowboys,12/28/2016
Air Force Falcons,Utah State Aggies,12/31/2016
Air Force Falcons,Colorado State Rams,1/7/2017
Air Force Falcons,Fresno State Bulldogs,1/11/2017
Air Force Falcons,San Jose State Spartans,1/14/2017
Air Force Falcons,Nevada Wolf Pack,1/18/2017
Air Force Falcons,UNLV Runnin' Rebels,1/21/2017
Air Force Falcons,San Diego State Aztecs,1/24/2017
Air Force Falcons,Fresno State Bulldogs,2/1/2017
Air Force Falcons,Wyoming Cowboys,2/4/2017
Air Force Falcons,New Mexico Lobos,2/8/2017
Air Force Falcons,Boise State Broncos,2/11/2017
Air Force Falcons,Nevada Wolf Pack,2/15/2017
Air Force Falcons,San Jose State Spartans,2/18/2017
Air Force Falcons,UNLV Runnin' Rebels,2/22/2017
Air Force Falcons,Utah State Aggies,2/25/2017
Air Force Falcons,San Diego State Aztecs,3/1/2017
Air Force Falcons,Boise State Broncos,3/4/2017
Air Force Falcons,Wyoming Cowboys,3/8/2017
Air Force Falcons,Colorado State Rams,3/9/2017
Akron Zips,Youngstown State Penguins,11/12/2016
Akron Zips,American University Eagles,11/17/2016
Akron Zips,Radford Highlanders,11/20/2016
Akron Zips,Georgia Southern Eagles,11/22/2016
Akron Zips,Mercer Bears,11/26/2016
Akron Zips,Adrian,11/30/2016
Akron Zips,Coppin State Eagles,12/7/2016
Akron Zips,UC Irvine Anteaters,12/21/2016
Akron Zips,Maryland Eastern Shore Hawks,12/22/2016
Akron Zips,Bowling Green Falcons,1/3/2017
Akron Zips,Western Michigan Broncos,1/6/2017
Akron Zips,Central Michigan Chippewas,1/10/2017
Akron Zips,Miami (OH) RedHawks,1/14/2017
Akron Zips,Ohio Bobcats,1/17/2017
Akron Zips,Eastern Michigan Eagles,1/20/2017
Akron Zips,Western Michigan Broncos,1/24/2017
Akron Zips,Buffalo Bulls,1/28/2017
Akron Zips,Northern Illinois Huskies,1/31/2017
Akron Zips,Ohio Bobcats,2/4/2017
Akron Zips,Ball State Cardinals,2/7/2017
Akron Zips,Eastern Michigan Eagles,2/10/2017
Akron Zips,Toledo Rockets,2/14/2017
Akron Zips,Kent State Golden Flashes,2/17/2017
Akron Zips,Bowling Green Falcons,2/21/2017
Akron Zips,Buffalo Bulls,2/24/2017
Akron Zips,Miami (OH) RedHawks,2/28/2017
Akron Zips,Kent State Golden Flashes,3/3/2017
Akron Zips,Eastern Michigan Eagles,3/9/2017
Akron Zips,Ball State Cardinals,3/10/2017
Akron Zips,Kent State Golden Flashes,3/11/2017
Alabama A&M Bulldogs,Missouri State Bears,11/11/2016
Alabama A&M Bulldogs,Tennessee Tech Golden Eagles,11/17/2016
Alabama A&M Bulldogs,Murray State Racers,11/26/2016
Alabama A&M Bulldogs,Tennessee Tech Golden Eagles,12/3/2016
Alabama A&M Bulldogs,Troy Trojans,12/10/2016
Alabama A&M Bulldogs,Georgia State Panthers,12/14/2016
Alabama A&M Bulldogs,Bowling Green Falcons,12/22/2016
Alabama A&M Bulldogs,Western Michigan Broncos,12/29/2016
Alabama A&M Bulldogs,Jackson State Tigers,1/2/2017
Alabama A&M Bulldogs,Grambling State Tigers,1/4/2017
Alabama A&M Bulldogs,Mississippi Valley State Delta Devils,1/7/2017
Alabama A&M Bulldogs,UAPB Golden Lions,1/9/2017
Alabama A&M Bulldogs,Alabama State Hornets,1/14/2017
Alabama A&M Bulldogs,Southern University Jaguars,1/21/2017
Alabama A&M Bulldogs,Alcorn State Braves,1/23/2017
Alabama A&M Bulldogs,Prairie View A&M Panthers,1/28/2017
Alabama A&M Bulldogs,Texas Southern Tigers,1/30/2017
Alabama A&M Bulldogs,Mississippi Valley State Delta Devils,2/4/2017
Alabama A&M Bulldogs,UAPB Golden Lions,2/6/2017
Alabama A&M Bulldogs,Alabama State Hornets,2/11/2017
Alabama A&M Bulldogs,Southern University Jaguars,2/18/2017
Alabama A&M Bulldogs,Alcorn State Braves,2/20/2017
Alabama A&M Bulldogs,Prairie View A&M Panthers,2/25/2017
Alabama A&M Bulldogs,Texas Southern Tigers,2/27/2017
Alabama A&M Bulldogs,Jackson State Tigers,3/2/2017
Alabama A&M Bulldogs,Grambling State Tigers,3/4/2017
Alabama State Hornets,Kennesaw State Owls,11/22/2016
Alabama State Hornets,Northern Arizona Lumberjacks,11/25/2016
Alabama State Hornets,Cal State Fullerton Titans,11/26/2016
Alabama State Hornets,Jacksonville State Gamecocks,11/29/2016
Alabama State Hornets,Troy Trojans,12/4/2016
Alabama State Hornets,San Diego State Aztecs,12/12/2016
Alabama State Hornets,Tennessee State Tigers,12/14/2016
Alabama State Hornets,Ball State Cardinals,12/22/2016
Alabama State Hornets,Fort Valley St.,12/29/2016
Alabama State Hornets,Grambling State Tigers,1/2/2017
Alabama State Hornets,Jackson State Tigers,1/4/2017
Alabama State Hornets,UAPB Golden Lions,1/7/2017
Alabama State Hornets,Mississippi Valley State Delta Devils,1/9/2017
Alabama State Hornets,Alcorn State Braves,1/21/2017
Alabama State Hornets,Southern University Jaguars,1/23/2017
Alabama State Hornets,Texas Southern Tigers,1/28/2017
Alabama State Hornets,Prairie View A&M Panthers,1/30/2017
Alabama State Hornets,UAPB Golden Lions,2/4/2017
Alabama State Hornets,Mississippi Valley State Delta Devils,2/6/2017
Alabama State Hornets,Alcorn State Braves,2/18/2017
Alabama State Hornets,Southern University Jaguars,2/20/2017
Alabama State Hornets,Texas Southern Tigers,2/25/2017
Alabama State Hornets,Prairie View A&M Panthers,2/27/2017
Alabama State Hornets,Grambling State Tigers,3/2/2017
Alabama State Hornets,Jackson State Tigers,3/4/2017
Alabama State Hornets,Texas Southern Tigers,3/7/2017
Albany Great Danes,SUNY Oneonta,11/16/2016
Albany Great Danes,Grand Canyon Antelopes,11/19/2016
Albany Great Danes,Brown Bears,11/20/2016
Albany Great Danes,Siena Saints,11/27/2016
Albany Great Danes,Holy Cross Crusaders,11/30/2016
Albany Great Danes,Yale Bulldogs,12/3/2016
Albany Great Danes,Marist Red Foxes,12/7/2016
Albany Great Danes,Colgate Raiders,12/10/2016
Albany Great Danes,Canisius Golden Griffins,12/12/2016
Albany Great Danes,St. Francis Brooklyn Terriers,12/17/2016
Albany Great Danes,Columbia Lions,12/30/2016
Albany Great Danes,Cornell Big Red,1/2/2017
Albany Great Danes,Massachusetts-Lowell River Hawks,1/5/2017
Albany Great Danes,Stony Brook Seawolves,1/8/2017
Albany Great Danes,New Hampshire Wildcats,1/11/2017
Albany Great Danes,UMBC Retrievers,1/16/2017
Albany Great Danes,Binghamton Bearcats,1/19/2017
Albany Great Danes,Maine Black Bears,1/22/2017
Albany Great Danes,Vermont Catamounts,1/25/2017
Albany Great Danes,Hartford Hawks,1/28/2017
Albany Great Danes,Massachusetts-Lowell River Hawks,2/1/2017
Albany Great Danes,Stony Brook Seawolves,2/4/2017
Albany Great Danes,New Hampshire Wildcats,2/6/2017
Albany Great Danes,Binghamton Bearcats,2/9/2017
Albany Great Danes,UMBC Retrievers,2/15/2017
Albany Great Danes,Maine Black Bears,2/19/2017
Albany Great Danes,Vermont Catamounts,2/22/2017
Albany Great Danes,Hartford Hawks,2/25/2017
Albany Great Danes,Hartford Hawks,3/1/2017
Albany Great Danes,Stony Brook Seawolves,3/6/2017
Albany Great Danes,Vermont Catamounts,3/11/2017
Alcorn State Braves,Loyola Chicago Ramblers,11/11/2016
Alcorn State Braves,Evansville Aces,11/14/2016
Alcorn State Braves,Selma,11/18/2016
Alcorn State Braves,Blue Mountain,11/22/2016
Alcorn State Braves,Colorado State Rams,11/27/2016
Alcorn State Braves,San Francisco Dons,11/30/2016
Alcorn State Braves,Grand Canyon Antelopes,12/20/2016
Alcorn State Braves,Rust,12/22/2016
Alcorn State Braves,Texas Southern Tigers,1/2/2017
Alcorn State Braves,Prairie View A&M Panthers,1/4/2017
Alcorn State Braves,Grambling State Tigers,1/9/2017
Alcorn State Braves,Jackson State Tigers,1/11/2017
Alcorn State Braves,Mississippi Valley State Delta Devils,1/14/2017
Alcorn State Braves,UAPB Golden Lions,1/16/2017
Alcorn State Braves,Southern University Jaguars,1/28/2017
Alcorn State Braves,Jackson State Tigers,2/4/2017
Alcorn State Braves,Grambling State Tigers,2/6/2017
Alcorn State Braves,Mississippi Valley State Delta Devils,2/11/2017
Alcorn State Braves,UAPB Golden Lions,2/13/2017
Alcorn State Braves,Southern University Jaguars,2/25/2017
Alcorn State Braves,Texas Southern Tigers,3/2/2017
Alcorn State Braves,Prairie View A&M Panthers,3/4/2017
Alcorn State Braves,Mississippi Valley State Delta Devils,3/7/2017
Alcorn State Braves,Southern University Jaguars,3/10/2017
Alcorn State Braves,Texas Southern Tigers,3/11/2017
American University Eagles,Wagner Seahawks,11/22/2016
American University Eagles,Saint Francis U Red Flash,11/26/2016
American University Eagles,Western Illinois Leathernecks,11/29/2016
American University Eagles,Howard Bison,12/3/2016
American University Eagles,New Hampshire Wildcats,12/6/2016
American University Eagles,Youngstown State Penguins,12/10/2016
American University Eagles,Maryland Eastern Shore Hawks,12/19/2016
American University Eagles,Loyola Maryland Greyhounds,12/30/2016
American University Eagles,Colgate Raiders,1/2/2017
American University Eagles,Bucknell Bison,1/5/2017
American University Eagles,Lehigh Mountain Hawks,1/8/2017
American University Eagles,Boston University Terriers,1/11/2017
American University Eagles,Army West Point Black Knights,1/14/2017
American University Eagles,Lafayette Leopards,1/18/2017
American University Eagles,Holy Cross Crusaders,1/23/2017
American University Eagles,Navy Midshipmen,1/25/2017
American University Eagles,Colgate Raiders,1/29/2017
American University Eagles,Bucknell Bison,2/1/2017
American University Eagles,Lehigh Mountain Hawks,2/4/2017
American University Eagles,Boston University Terriers,2/8/2017
American University Eagles,Army West Point Black Knights,2/11/2017
American University Eagles,Lafayette Leopards,2/15/2017
American University Eagles,Holy Cross Crusaders,2/19/2017
American University Eagles,Navy Midshipmen,2/22/2017
American University Eagles,Loyola Maryland Greyhounds,2/25/2017
American University Eagles,Army West Point Black Knights,2/28/2017
Appalachian State Mountaineers,Davidson Wildcats,11/12/2016
Appalachian State Mountaineers,Warren Wilson,11/17/2016
Appalachian State Mountaineers,Hartford Hawks,11/23/2016
Appalachian State Mountaineers,Western Carolina Catamounts,12/3/2016
Appalachian State Mountaineers,Montreat,12/11/2016
Appalachian State Mountaineers,James Madison Dukes,12/17/2016
Appalachian State Mountaineers,Hampton Pirates,12/21/2016
Appalachian State Mountaineers,Texas State Bobcats,12/31/2016
Appalachian State Mountaineers,UT Arlington Mavericks,1/2/2017
Appalachian State Mountaineers,Little Rock Trojans,1/7/2017
Appalachian State Mountaineers,Arkansas State Red Wolves,1/9/2017
Appalachian State Mountaineers,Coastal Carolina Chanticleers,1/14/2017
Appalachian State Mountaineers,Georgia Southern Eagles,1/21/2017
Appalachian State Mountaineers,Georgia State Panthers,1/23/2017
Appalachian State Mountaineers,UT Arlington Mavericks,1/28/2017
Appalachian State Mountaineers,Texas State Bobcats,1/30/2017
Appalachian State Mountaineers,Arkansas State Red Wolves,2/4/2017
Appalachian State Mountaineers,Little Rock Trojans,2/6/2017
Appalachian State Mountaineers,Georgia State Panthers,2/11/2017
Appalachian State Mountaineers,Georgia Southern Eagles,2/13/2017
Appalachian State Mountaineers,South Alabama Jaguars,2/18/2017
Appalachian State Mountaineers,Troy Trojans,2/20/2017
Appalachian State Mountaineers,Louisiana-Monroe Warhawks,2/25/2017
Appalachian State Mountaineers,Louisiana Ragin' Cajuns,2/27/2017
Appalachian State Mountaineers,Coastal Carolina Chanticleers,3/4/2017
Appalachian State Mountaineers,Troy Trojans,3/8/2017
Arizona Wildcats,Utah Runnin' Utes,1/5/2017
Arizona State Sun Devils,Colorado Buffaloes,1/5/2017
UAPB Golden Lions,Ecclesia,11/14/2016
UAPB Golden Lions,George Washington Colonials,11/17/2016
UAPB Golden Lions,Blue Mountain,11/21/2016
UAPB Golden Lions,Siena Saints,11/23/2016
UAPB Golden Lions,Hawaii Rainbow Warriors,11/27/2016
UAPB Golden Lions,UT Martin Skyhawks,12/1/2016
UAPB Golden Lions,Central Michigan Chippewas,12/3/2016
UAPB Golden Lions,Little Rock Trojans,12/8/2016
UAPB Golden Lions,Seattle Redhawks,12/12/2016
UAPB Golden Lions,New Mexico Lobos,12/17/2016
UAPB Golden Lions,Denver Pioneers,12/19/2016
UAPB Golden Lions,Grand Canyon Antelopes,12/22/2016
UAPB Golden Lions,Mississippi Valley State Delta Devils,1/2/2017
UAPB Golden Lions,Southern University Jaguars,1/14/2017
UAPB Golden Lions,Texas Southern Tigers,1/21/2017
UAPB Golden Lions,Prairie View A&M Panthers,1/23/2017
UAPB Golden Lions,Grambling State Tigers,1/28/2017
UAPB Golden Lions,Jackson State Tigers,1/30/2017
UAPB Golden Lions,Southern University Jaguars,2/11/2017
UAPB Golden Lions,Texas Southern Tigers,2/18/2017
UAPB Golden Lions,Prairie View A&M Panthers,2/20/2017
UAPB Golden Lions,Grambling State Tigers,2/25/2017
UAPB Golden Lions,Jackson State Tigers,2/27/2017
UAPB Golden Lions,Mississippi Valley State Delta Devils,3/4/2017
Arkansas State Red Wolves,North Dakota State Bison,11/11/2016
Arkansas State Red Wolves,Central Baptist,11/14/2016
Arkansas State Red Wolves,Army West Point Black Knights,11/19/2016
Arkansas State Red Wolves,Chattanooga Mocs,11/20/2016
Arkansas State Red Wolves,SIUE Cougars,11/22/2016
Arkansas State Red Wolves,Lehigh Mountain Hawks,11/27/2016
Arkansas State Red Wolves,Cleveland State Vikings,11/30/2016
Arkansas State Red Wolves,UT Martin Skyhawks,12/14/2016
Arkansas State Red Wolves,Central Arkansas Bears,12/16/2016
Arkansas State Red Wolves,Louisiana Ragin' Cajuns,12/31/2016
Arkansas State Red Wolves,Louisiana-Monroe Warhawks,1/2/2017
Arkansas State Red Wolves,Coastal Carolina Chanticleers,1/7/2017
Arkansas State Red Wolves,Little Rock Trojans,1/14/2017
Arkansas State Red Wolves,Troy Trojans,1/21/2017
Arkansas State Red Wolves,South Alabama Jaguars,1/23/2017
Arkansas State Red Wolves,Louisiana-Monroe Warhawks,1/28/2017
Arkansas State Red Wolves,Louisiana Ragin' Cajuns,1/30/2017
Arkansas State Red Wolves,Coastal Carolina Chanticleers,2/6/2017
Arkansas State Red Wolves,UT Arlington Mavericks,2/11/2017
Arkansas State Red Wolves,Texas State Bobcats,2/13/2017
Arkansas State Red Wolves,Little Rock Trojans,2/17/2017
Arkansas State Red Wolves,Georgia Southern Eagles,2/25/2017
Arkansas State Red Wolves,Georgia State Panthers,2/27/2017
Arkansas State Red Wolves,Troy Trojans,3/2/2017
Arkansas State Red Wolves,South Alabama Jaguars,3/4/2017
Arkansas State Red Wolves,Louisiana-Monroe Warhawks,3/8/2017
Army West Point Black Knights,Mt. St. Mary (NY),11/15/2016
Army West Point Black Knights,Central Arkansas Bears,11/20/2016
Army West Point Black Knights,Columbia Lions,11/23/2016
Army West Point Black Knights,Fairfield Stags,11/26/2016
Army West Point Black Knights,Fairleigh Dickinson Knights,11/30/2016
Army West Point Black Knights,St. Francis Brooklyn Terriers,12/3/2016
Army West Point Black Knights,Monmouth Hawks,12/10/2016
Army West Point Black Knights,St. Bonaventure Bonnies,12/19/2016
Army West Point Black Knights,Binghamton Bearcats,12/21/2016
Army West Point Black Knights,Lehigh Mountain Hawks,12/30/2016
Army West Point Black Knights,Bucknell Bison,1/2/2017
Army West Point Black Knights,Lafayette Leopards,1/5/2017
Army West Point Black Knights,Loyola Maryland Greyhounds,1/8/2017
Army West Point Black Knights,Colgate Raiders,1/11/2017
Army West Point Black Knights,Holy Cross Crusaders,1/18/2017
Army West Point Black Knights,Navy Midshipmen,1/21/2017
Army West Point Black Knights,Boston University Terriers,1/25/2017
Army West Point Black Knights,Bucknell Bison,1/28/2017
Army West Point Black Knights,Lafayette Leopards,2/1/2017
Army West Point Black Knights,Loyola Maryland Greyhounds,2/4/2017
Army West Point Black Knights,Colgate Raiders,2/8/2017
Army West Point Black Knights,Holy Cross Crusaders,2/15/2017
Army West Point Black Knights,Navy Midshipmen,2/18/2017
Army West Point Black Knights,Boston University Terriers,2/22/2017
Army West Point Black Knights,Lehigh Mountain Hawks,2/25/2017
Army West Point Black Knights,Bucknell Bison,3/2/2017
Austin Peay Governors,Dayton Flyers,11/11/2016
Austin Peay Governors,Oakland City,11/14/2016
Austin Peay Governors,Northern Kentucky Norse,11/18/2016
Austin Peay Governors,Miami (OH) RedHawks,11/19/2016
Austin Peay Governors,Delaware Fightin' Blue Hens,11/20/2016
Austin Peay Governors,Spalding,11/26/2016
Austin Peay Governors,Fort Wayne Mastodons,11/30/2016
Austin Peay Governors,Fort Wayne Mastodons,12/10/2016
Austin Peay Governors,Wofford Terriers,12/15/2016
Austin Peay Governors,Evansville Aces,12/17/2016
Austin Peay Governors,Lipscomb Bisons,12/20/2016
Austin Peay Governors,Belmont Bruins,12/31/2016
Austin Peay Governors,Tennessee Tech Golden Eagles,1/5/2017
Austin Peay Governors,Jacksonville State Gamecocks,1/7/2017
Austin Peay Governors,SIUE Cougars,1/12/2017
Austin Peay Governors,Eastern Illinois Panthers,1/14/2017
Austin Peay Governors,Morehead State Eagles,1/19/2017
Austin Peay Governors,Murray State Racers,1/21/2017
Austin Peay Governors,UT Martin Skyhawks,1/26/2017
Austin Peay Governors,Southeast Missouri State Redhawks,1/28/2017
Austin Peay Governors,Eastern Kentucky Colonels,2/1/2017
Austin Peay Governors,Tennessee State Tigers,2/4/2017
Austin Peay Governors,Murray State Racers,2/11/2017
Austin Peay Governors,Eastern Illinois Panthers,2/16/2017
Austin Peay Governors,SIUE Cougars,2/18/2017
Austin Peay Governors,UT Martin Skyhawks,2/23/2017
Austin Peay Governors,Southeast Missouri State Redhawks,2/25/2017
BYU Cougars,Princeton Tigers,11/14/2016
BYU Cougars,Coppin State Eagles,11/17/2016
BYU Cougars,Coastal Carolina Chanticleers,11/19/2016
BYU Cougars,Saint Louis Billikens,11/21/2016
BYU Cougars,Valparaiso Crusaders,11/23/2016
BYU Cougars,Utah Valley Wolverines,11/26/2016
BYU Cougars,Utah State Aggies,11/30/2016
BYU Cougars,Weber State Wildcats,12/7/2016
BYU Cougars,Idaho State Bengals,12/20/2016
BYU Cougars,Bakersfield Roadrunners,12/22/2016
BYU Cougars,Santa Clara Broncos,12/29/2016
BYU Cougars,Loyola Marymount Lions,12/31/2016
BYU Cougars,Pacific Tigers,1/7/2017
BYU Cougars,San Francisco Dons,1/12/2017
BYU Cougars,San Diego Toreros,1/14/2017
BYU Cougars,Pepperdine Waves,1/19/2017
BYU Cougars,Pacific Tigers,1/21/2017
BYU Cougars,Santa Clara Broncos,1/26/2017
BYU Cougars,Loyola Marymount Lions,1/28/2017
BYU Cougars,Portland Pilots,2/4/2017
BYU Cougars,Pepperdine Waves,2/9/2017
BYU Cougars,San Francisco Dons,2/11/2017
BYU Cougars,San Diego Toreros,2/16/2017
BYU Cougars,Portland Pilots,2/23/2017
BYU Cougars,Loyola Marymount Lions,3/4/2017
Ball State Cardinals,Saint Louis Billikens,11/11/2016
Ball State Cardinals,Indiana State Sycamores,11/15/2016
Ball State Cardinals,Coppin State Eagles,11/21/2016
Ball State Cardinals,Southern Utah Thunderbirds,11/23/2016
Ball State Cardinals,Valparaiso Crusaders,11/27/2016
Ball State Cardinals,Ind.-Kokomo,11/29/2016
Ball State Cardinals,IUPUI Jaguars,12/3/2016
Ball State Cardinals,Bradley Braves,12/6/2016
Ball State Cardinals,Eastern Kentucky Colonels,12/10/2016
Ball State Cardinals,Longwood Lancers,12/19/2016
Ball State Cardinals,North Florida Ospreys,12/29/2016
Ball State Cardinals,Kent State Golden Flashes,1/3/2017
Ball State Cardinals,Bowling Green Falcons,1/7/2017
Ball State Cardinals,Miami (OH) RedHawks,1/10/2017
Ball State Cardinals,Buffalo Bulls,1/14/2017
Ball State Cardinals,Central Michigan Chippewas,1/17/2017
Ball State Cardinals,Bowling Green Falcons,1/21/2017
Ball State Cardinals,Eastern Michigan Eagles,1/24/2017
Ball State Cardinals,Western Michigan Broncos,1/28/2017
Ball State Cardinals,Toledo Rockets,1/31/2017
Ball State Cardinals,Buffalo Bulls,2/3/2017
Ball State Cardinals,Ohio Bobcats,2/10/2017
Ball State Cardinals,Northern Illinois Huskies,2/14/2017
Ball State Cardinals,Central Michigan Chippewas,2/18/2017
Ball State Cardinals,Eastern Michigan Eagles,2/21/2017
Ball State Cardinals,Western Michigan Broncos,2/25/2017
Ball State Cardinals,Toledo Rockets,2/28/2017
Ball State Cardinals,Northern Illinois Huskies,3/3/2017
Ball State Cardinals,Western Michigan Broncos,3/9/2017
Baylor Bears,Oral Roberts Golden Eagles,11/11/2016
Belmont Bruins,Lipscomb Bisons,11/29/2016
Belmont Bruins,Pepperdine Waves,12/3/2016
Belmont Bruins,Lipscomb Bisons,12/6/2016
Belmont Bruins,Milwaukee Panthers,12/19/2016
Belmont Bruins,Cleveland State Vikings,12/22/2016
Belmont Bruins,UT Martin Skyhawks,1/5/2017
Belmont Bruins,Southeast Missouri State Redhawks,1/7/2017
Belmont Bruins,Morehead State Eagles,1/12/2017
Belmont Bruins,Eastern Kentucky Colonels,1/14/2017
Belmont Bruins,Jacksonville State Gamecocks,1/19/2017
Belmont Bruins,Tennessee Tech Golden Eagles,1/21/2017
Belmont Bruins,Eastern Illinois Panthers,1/25/2017
Belmont Bruins,Tennessee State Tigers,1/28/2017
Belmont Bruins,SIUE Cougars,1/30/2017
Belmont Bruins,Murray State Racers,2/2/2017
Belmont Bruins,Jacksonville State Gamecocks,2/9/2017
Belmont Bruins,Tennessee Tech Golden Eagles,2/11/2017
Belmont Bruins,Eastern Kentucky Colonels,2/16/2017
Belmont Bruins,Morehead State Eagles,2/18/2017
Belmont Bruins,Trevecca Nazarene,2/21/2017
Belmont Bruins,Tennessee State Tigers,2/25/2017
Belmont Bruins,Jacksonville State Gamecocks,3/3/2017
Bethune-Cookman Wildcats,Kennesaw State Owls,11/16/2016
Bethune-Cookman Wildcats,Trinity (FL),11/18/2016
Bethune-Cookman Wildcats,New Mexico State Aggies,11/20/2016
Bethune-Cookman Wildcats,San Diego Toreros,11/22/2016
Bethune-Cookman Wildcats,Nicholls Colonels,11/25/2016
Bethune-Cookman Wildcats,Samford Bulldogs,11/26/2016
Bethune-Cookman Wildcats,Cleveland State Vikings,12/3/2016
Bethune-Cookman Wildcats,Jacksonville Dolphins,12/5/2016
Bethune-Cookman Wildcats,Florida Col.,12/10/2016
Bethune-Cookman Wildcats,UT Martin Skyhawks,12/17/2016
Bethune-Cookman Wildcats,Savannah State Tigers,1/4/2017
Bethune-Cookman Wildcats,Morgan State Bears,1/7/2017
Bethune-Cookman Wildcats,Coppin State Eagles,1/9/2017
Bethune-Cookman Wildcats,South Carolina State Bulldogs,1/14/2017
Bethune-Cookman Wildcats,Florida A&M Rattlers,1/16/2017
Bethune-Cookman Wildcats,Maryland Eastern Shore Hawks,1/21/2017
Bethune-Cookman Wildcats,Norfolk State Spartans,1/28/2017
Bethune-Cookman Wildcats,Stetson Hatters,2/1/2017
Bethune-Cookman Wildcats,Delaware State Hornets,2/4/2017
Bethune-Cookman Wildcats,Howard Bison,2/6/2017
Bethune-Cookman Wildcats,Coppin State Eagles,2/11/2017
Bethune-Cookman Wildcats,Maryland Eastern Shore Hawks,2/13/2017
Bethune-Cookman Wildcats,Hampton Pirates,2/18/2017
Bethune-Cookman Wildcats,Norfolk State Spartans,2/20/2017
Bethune-Cookman Wildcats,North Carolina Central Eagles,2/25/2017
Bethune-Cookman Wildcats,North Carolina A&T Aggies,2/27/2017
Bethune-Cookman Wildcats,Florida A&M Rattlers,3/2/2017
Bethune-Cookman Wildcats,Delaware State Hornets,3/7/2017
Bethune-Cookman Wildcats,North Carolina Central Eagles,3/8/2017
Binghamton Bearcats,Cornell Big Red,11/11/2016
Binghamton Bearcats,Central Connecticut State Blue Devils,11/16/2016
Binghamton Bearcats,VCU Rams,11/18/2016
Binghamton Bearcats,@ Ave Maria,11/22/2016
Binghamton Bearcats,FGCU Eagles,11/23/2016
Binghamton Bearcats,Long Beach State 49ers,11/24/2016
Binghamton Bearcats,Mansfield,11/30/2016
Binghamton Bearcats,Saint Francis U Red Flash,12/3/2016
Binghamton Bearcats,Colgate Raiders,12/7/2016
Binghamton Bearcats,Loyola Maryland Greyhounds,12/10/2016
Binghamton Bearcats,Delaware State Hornets,12/17/2016
Binghamton Bearcats,Marywood,12/30/2016
Binghamton Bearcats,UMBC Retrievers,1/5/2017
Binghamton Bearcats,Massachusetts-Lowell River Hawks,1/8/2017
Binghamton Bearcats,Vermont Catamounts,1/11/2017
Binghamton Bearcats,New Hampshire Wildcats,1/14/2017
Binghamton Bearcats,Stony Brook Seawolves,1/22/2017
Binghamton Bearcats,Hartford Hawks,1/25/2017
Binghamton Bearcats,Maine Black Bears,1/29/2017
Binghamton Bearcats,UMBC Retrievers,2/1/2017
Binghamton Bearcats,Massachusetts-Lowell River Hawks,2/4/2017
Binghamton Bearcats,Vermont Catamounts,2/6/2017
Binghamton Bearcats,New Hampshire Wildcats,2/12/2017
Binghamton Bearcats,Stony Brook Seawolves,2/18/2017
Binghamton Bearcats,Hartford Hawks,2/22/2017
Binghamton Bearcats,Maine Black Bears,2/25/2017
Binghamton Bearcats,Stony Brook Seawolves,3/1/2017
Boise State Broncos,Northwest (WA),11/12/2016
Boise State Broncos,Charleston Cougars,11/17/2016
