PlayerName,Region,FGM,FGA,FGAPerZone,PercentRankZone,FGPer,PerOverall,PerPosition
Ryan Layman,NBA 3s,6,16,47.06%,82.96%,37.50%,83.09%,85.68%
Hunter Ware,Left Wing,0,0,0.00%,NR,NA,NR,NR
Hunter Ware,Above Break,1,3,21.43%,NR,33.33%,NR,NR
Hunter Ware,Right Wing,0,0,0.00%,NR,NA,NR,NR
Hunter Ware,Rim,1,3,21.43%,NR,33.33%,NR,NR
Hunter Ware,Short MR,2,4,28.57%,NR,50.00%,NR,NR
Hunter Ware,Long MR,1,4,28.57%,NR,25.00%,NR,NR
Hunter Ware,NBA 3s,1,3,21.43%,NR,33.33%,NR,NR
Bosko Kostur,Left Wing,0,0,0.00%,NR,NA,NR,NR
Bosko Kostur,Above Break,6,12,44.44%,NR,50.00%,NR,NR
Bosko Kostur,Right Wing,0,2,7.41%,NR,0.00%,NR,NR
Bosko Kostur,Rim,4,8,29.63%,NR,50.00%,NR,NR
Bosko Kostur,Short MR,0,0,0,NR,NA,NR,NR
Bosko Kostur,Long MR,0,5,18.52%,NR,0.00%,NR,NR
Bosko Kostur,NBA 3s,6,14,51.85%,NR,42.86%,NR,NR
Brandon Carroll,Left Wing,0,0,0.00%,NR,NA,NR,NR
Brandon Carroll,Above Break,1,7,0.179487179,NR,14.29%,NR,NR
Brandon Carroll,Right Wing,0,0,0,NR,NA,NR,NR
Brandon Carroll,Rim,7,22,56.41%,80.80%,31.82%,2.96%,3.00%
Brandon Carroll,Short MR,0,1,2.56%,NR,0.00%,NR,NR
Brandon Carroll,Long MR,4,9,23.08%,NR,44.44%,NR,NR
Brandon Carroll,NBA 3s,0,5,12.82%,NR,0.00%,NR,NR
Gus Riley,Left Wing,0,0,0.00%,NR,NA,NR,NR
Gus Riley,Above Break,0,1,0.142857143,NR,0.00%,NR,NR
Gus Riley,Right Wing,3,4,0.571428571,NR,75.00%,NR,NR
Gus Riley,Rim,1,1,14.29%,NR,100.00%,NR,NR
Gus Riley,Short MR,0,0,0,NR,NA,NR,NR
Gus Riley,Long MR,0,1,14.29%,NR,0.00%,NR,NR
Gus Riley,NBA 3s,1,3,42.86%,NR,33.33%,NR,NR
Demonte Ojinnaka,Left Wing,1,2,20.00%,NR,50.00%,NR,NR
Demonte Ojinnaka,Above Break,0,3,30.00%,NR,0.00%,NR,NR
Demonte Ojinnaka,Right Wing,0,1,10.00%,NR,0.00%,NR,NR
Demonte Ojinnaka,Rim,0,1,10.00%,NR,0.00%,NR,NR
Demonte Ojinnaka,Short MR,1,3,30.00%,NR,33.33%,NR,NR
Demonte Ojinnaka,Long MR,0,0,0,NR,NA,NR,NR
Demonte Ojinnaka,NBA 3s,1,5,0.5,NR,20.00%,NR,NR
Ethan Claycomb,Left Wing,0,0,0,NR,NA,NR,NR
Ethan Claycomb,Above Break,0,1,1,NR,0.00%,NR,NR
Ethan Claycomb,Right Wing,0,0,0,NR,NA,NR,NR
Ethan Claycomb,Rim,0,0,0,NR,NA,NR,NR
Ethan Claycomb,Short MR,0,0,0,NR,NA,NR,NR
Ethan Claycomb,Long MR,0,0,0,NR,NA,NR,NR
Ethan Claycomb,NBA 3s,0,0,0,NR,NA,NR,NR
Brenton Scott,Left Wing,2,5,10.00%,NR,40.00%,NR,NR
Brenton Scott,Above Break,7,19,38.00%,53.49%,36.84%,79.53%,76.49%
Brenton Scott,Right Wing,1,3,6.00%,NR,33.33%,NR,NR
Brenton Scott,Rim,3,5,10.00%,NR,60.00%,NR,NR
Brenton Scott,Short MR,2,8,16.00%,NR,25.00%,NR,NR
Brenton Scott,Long MR,2,10,20.00%,NR,20.00%,NR,NR
Brenton Scott,NBA 3s,7,23,46.00%,80.43%,30.43%,49.94%,46.20%
Clayton Hughes,Left Wing,1,1,16.67%,NR,100.00%,NR,NR
Clayton Hughes,Above Break,0,2,33.33%,NR,0.00%,NR,NR
Clayton Hughes,Right Wing,1,1,16.67%,NR,100.00%,NR,NR
Clayton Hughes,Rim,0,1,16.67%,NR,0.00%,NR,NR
Clayton Hughes,Short MR,0,0,0,NR,NA,NR,NR
