Xrim1,YRim1,XRim2,YRim2,XPaint1,YPaint1,XPaint2,YPaint2,XFC1,YFC1,XFC2,YFC2,X3P1,Y3P1,X3P2,Y3P2,XBackB1,YBackB1,XBackB2,YBackB2,HalfCX,HalfCY,HalfX2,HalfY2,BoundX,BoundY
4.106900922,44.90272253,92.89309908,44.90272253,18.8406383,32,78.1593617,32,21.06795195,55.34622291,75.93204805,55.34622291,10.41862599,85.37095846,86.58137401,85.37095846,2.686170213,49.47,94.31382979,49.47,46.44268634,55.34622291,48.5,-8.1,-1,-6.8
4.089926464,44.94398059,92.91007354,44.94398059,18.8306383,32,78.1693617,32,21.17191452,55.27631145,75.82808548,55.27631145,10.79776201,85.13005804,86.20223799,85.13005804,2.686170213,49.46,94.31382979,49.46,46.33872378,55.27631145,48.5,-8,-1,-6.6
4.07220411,44.98408854,92.92779589,44.98408854,18.8206383,32,78.1793617,32,21.27521874,55.20296512,75.72478126,55.20296512,11.17462632,84.876629,85.82537368,84.876629,2.686170213,49.45,94.31382979,49.45,46.23541955,55.20296512,48.5,-7.9,-1,-6.4
4.05375545,45.02299754,92.94624455,45.02299754,18.8106383,32,78.1893617,32,21.37783315,55.12620625,75.62216685,55.12620625,11.54910412,84.61074855,85.45089588,84.61074855,2.686170213,49.44,94.31382979,49.44,46.13280514,55.12620625,48.5,-7.8,-1,-6.2
4.034602963,45.06066017,92.96539704,45.06066017,18.8006383,32,78.1993617,32,21.47972649,55.04605824,75.52027351,55.04605824,11.92108135,84.33249767,85.07891865,84.33249767,2.686170213,49.43,94.31382979,49.43,46.03091181,55.04605824,48.5,-7.7,-1,-6
4.014769981,45.09703055,92.98523002,45.09703055,18.7906383,32,78.2093617,32,21.58086772,54.96254549,75.41913228,54.96254549,12.29044471,84.04196113,84.70955529,84.04196113,2.686170213,49.42,94.31382979,49.42,45.92977057,54.96254549,48.5,-7.6,-1,-5.8
3.994280669,45.13206437,93.00571933,45.13206437,18.7806383,32,78.2193617,32,21.68122604,54.87569344,75.31877396,54.87569344,12.65708167,83.73922741,84.34291833,83.73922741,2.686170213,49.41,94.31382979,49.41,45.82941226,54.87569344,48.5,-7.5,-1,-5.6
3.97315999,45.16571894,93.02684001,45.16571894,18.7706383,32,78.2293617,32,21.78077086,54.78552856,75.21922914,54.78552856,13.02088055,83.42438874,83.97911945,83.42438874,2.686170213,49.4,94.31382979,49.4,45.72986743,54.78552856,48.5,-7.4,-1,-5.4
3.951433675,45.19795327,93.04856632,45.19795327,18.7606383,32,78.2393617,32,21.87947188,54.69207829,75.12052812,54.69207829,13.38173055,83.09754101,83.61826945,83.09754101,2.686170213,49.39,94.31382979,49.39,45.63116642,54.69207829,48.5,-7.3,-1,-5.2
3.929128196,45.22872807,93.0708718,45.22872807,18.7506383,32,78.2493617,32,21.97729902,54.59537111,75.02270098,54.59537111,13.73952174,82.7587838,83.26047826,82.7587838,2.686170213,49.38,94.31382979,49.38,45.53333927,54.59537111,48.5,-7.2,-1,-5
3.906270727,45.25800585,93.09372927,45.25800585,18.7406383,32,78.2593617,32,22.07422249,54.49543649,74.92577751,54.49543649,14.09414513,82.40822029,82.90585487,82.40822029,2.686170213,49.37,94.31382979,49.37,45.4364158,54.49543649,48.5,-7.1,-1,-4.8
3.882889118,45.28575095,93.11711088,45.28575095,18.7306383,32,78.2693617,32,22.17021277,54.39230485,74.82978723,54.39230485,14.44549271,82.04595726,82.55450729,82.04595726,2.686170213,49.36,94.31382979,49.36,45.34042553,54.39230485,48.5,-7,-1,-4.6
3.859011854,45.31192956,93.14098815,45.31192956,18.7206383,32,78.2793617,32,22.2652406,54.28600761,74.7347594,54.28600761,14.79345745,81.67210506,82.20654255,81.67210506,2.686170213,49.35,94.31382979,49.35,45.2453977,54.28600761,48.5,-6.9,-1,-4.4
3.834668028,45.33650979,93.16533197,45.33650979,18.7106383,32,78.2893617,32,22.35927705,54.17657715,74.64072295,54.17657715,15.13793335,81.28677758,81.86206665,81.28677758,2.686170213,49.34,94.31382979,49.34,45.15136125,54.17657715,48.5,-6.8,-1,-4.2
3.809887297,45.35946168,93.1901127,45.35946168,18.7006383,32,78.2993617,32,22.45229348,54.06404682,74.54770652,54.06404682,15.47881549,80.89009218,81.52118451,80.89009218,2.686170213,49.33,94.31382979,49.33,45.05834482,54.06404682,48.5,-6.7,-1,-4
3.784699854,45.38075728,93.21530015,45.38075728,18.6906383,32,78.3093617,32,22.54426154,53.94845087,74.45573846,53.94845087,15.81600002,80.48216971,81.18399998,80.48216971,2.686170213,49.32,94.31382979,49.32,44.96637676,53.94845087,48.5,-6.6,-1,-3.8
3.759136386,45.40037064,93.24086361,45.40037064,18.6806383,32,78.3193617,32,22.63515323,53.82982453,74.36484677,53.82982453,16.14938425,80.06313441,80.85061575,80.06313441,2.686170213,49.31,94.31382979,49.31,44.87548507,53.82982453,48.5,-6.5,-1,-3.6
3.733228037,45.41827786,93.26677196,45.41827786,18.6706383,32,78.3293617,32,22.72494085,53.70820393,74.27505915,53.70820393,16.47886661,79.63311393,80.52113339,79.63311393,2.686170213,49.3,94.31382979,49.3,44.78569745,53.70820393,48.5,-6.4,-1,-3.4
3.707006373,45.43445713,93.29299363,45.43445713,18.6606383,32,78.3393617,32,22.81359706,53.58362612,74.18640294,53.58362612,16.80434675,79.19223926,80.19565325,79.19223926,2.686170213,49.29,94.31382979,49.29,44.69704124,53.58362612,48.5,-6.3,-1,-3.2
3.680503341,45.44888874,93.31949666,45.44888874,18.6506383,32,78.3493617,32,22.90109485,53.45612904,74.09890515,53.45612904,17.12572552,78.74064469,79.87427448,78.74064469,2.686170213,49.28,94.31382979,49.28,44.60954344,53.45612904,48.5,-6.2,-1,-3
3.653751232,45.4615551,93.34624877,45.4615551,18.6406383,32,78.3593617,32,22.98740758,53.32575154,74.01259242,53.32575154,17.44290502,78.27846778,79.55709498,78.27846778,2.686170213,49.27,94.31382979,49.27,44.52323072,53.32575154,48.5,-6.1,-1,-2.8
