Left,Right,Date
Spring Arbor College Cougars,Eastern Michigan Eagles,11/10/2017
Webber International Warriors,Stetson Hatters,11/10/2017
Wheelock Wildcats,New Hampshire Wildcats,11/10/2017
Millsaps Majors,Jackson State Tigers,11/10/2017
Oglethorpe Stormy Petrels,Citadel Bulldogs,11/10/2017
Siena Heights Saints,Central Michigan Chippewas,11/10/2017
Walla Walla University Wolves,Eastern Washington Eagles,11/10/2017
Bridgewater (VA) Eagles,James Madison Dukes,11/10/2017
Holy Cross Crusaders,Sacred Heart Pioneers,11/10/2017
Siena Saints,Charleston Cougars,11/10/2017
Charleston Southern Buccaneers,Davidson Wildcats,11/10/2017
Ball State Cardinals,Dayton Flyers,11/10/2017
Bowling Green Falcons,Drexel Dragons,11/10/2017
Bob Jones University Bruins,Furman Paladins,11/10/2017
Lafayette Leopards,George Mason Patriots,11/10/2017
Carver College Cougars,Georgia State Panthers,11/10/2017
MIT Engineers,Harvard Crimson,11/10/2017
Army West Point Black Knights,Hofstra Pride,11/10/2017
Clarks Summit Defenders,Liberty Flames,11/10/2017
Massachusetts-Lowell River Hawks,Massachusetts Minutemen,11/10/2017
Fort Wayne Mastodons,Oakland Golden Grizzlies,11/10/2017
Georgia Southwestern Hurricanes,Radford Highlanders,11/10/2017
Delaware Fightin' Blue Hens,Richmond Spiders,11/10/2017
Grambling State Tigers,VCU Rams,11/10/2017
Southern Illinois Salukis,Winthrop Eagles,11/10/2017
Iona Gaels,Albany Great Danes,11/10/2017
Morgan State Bears,Binghamton Bearcats,11/10/2017
East Tennessee State Buccaneers,Northern Kentucky Norse,11/10/2017
Cairn University Highlanders,Delaware State Hornets,11/10/2017
Howard Bison,George Washington Colonials,11/10/2017
UNC Asheville Bulldogs,Rhode Island Rams,11/10/2017
Missouri Baptist Spartans,Southeast Missouri State Redhawks,11/10/2017
Emory University Eagles,Lipscomb Bisons,11/10/2017
Miami (OH) RedHawks,Fordham Rams,11/10/2017
Piedmont International Bruins,Coastal Carolina Chanticleers,11/10/2017
Arkansas State Red Wolves,Evansville Aces,11/10/2017
California-Santa Cruz Banana Slugs,Fresno State Bulldogs,11/10/2017
North Carolina Central Eagles,UIC Flames,11/10/2017
Wright State Raiders,Loyola Chicago Ramblers,11/10/2017
Omaha Mavericks,Montana State Bobcats,11/10/2017
Brescia Bearcats,Murray State Racers,11/10/2017
Avila Eagles,Oral Roberts Golden Eagles,11/10/2017
Niagara Purple Eagles,St. Bonaventure Bonnies,11/10/2017
Seattle Redhawks,Saint Louis Billikens,11/10/2017
Nicholls Colonels,Texas-Rio Grande Valley Vaqueros,11/10/2017
North Park Vikings,Valparaiso Crusaders,11/10/2017
Wisconsin-La Crosse Eagles,Milwaukee Panthers,11/10/2017
William & Mary Tribe,High Point Panthers,11/10/2017
Southwestern University Pirates,Incarnate Word Cardinals,11/10/2017
Central Connecticut State Blue Devils,Hartford Hawks,11/10/2017
Hampton Pirates,Rider Broncs,11/10/2017
Northeastern Huskies,Boston University Terriers,11/10/2017
Greensboro Pride,North Carolina A&T Aggies,11/10/2017
Johnson (FL) Suns,Bethune-Cookman Wildcats,11/10/2017
Valley Forge Patriots,Maryland Eastern Shore Hawks,11/10/2017
Our Lady of the Lake Saints,Texas A&M-Corpus Christi Islanders,11/10/2017
Bucknell Bison,Monmouth Hawks,11/10/2017
Midway Eagles,Tennessee Tech Golden Eagles,11/10/2017
Randall University Saints,Abilene Christian Wildcats,11/10/2017
Florida A&M Rattlers,Grand Canyon Antelopes,11/10/2017
Whitworth Pirates,Montana Grizzlies,11/10/2017
East Central Tigers,New Mexico State Aggies,11/10/2017
Utah State Aggies,Weber State Wildcats,11/10/2017
Chattanooga Mocs,Wyoming Cowboys,11/10/2017
Tennessee Wesleyan Bulldogs,Jacksonville State Gamecocks,11/10/2017
Centenary Gentlemen,Southeastern Louisiana Lions,11/10/2017
UC Irvine Anteaters,South Dakota State Jackrabbits,11/10/2017
Troy Trojans,North Dakota Fighting Hawks,11/10/2017
Sacramento State Hornets,Colorado State Rams,11/10/2017
Idaho Vandals,Nevada Wolf Pack,11/10/2017
San Diego Christian Hawks,San Diego State Aztecs,11/10/2017
Antelope Valley Pioneers,San Jose State Spartans,11/10/2017
La Verne Leopards,Santa Clara Broncos,11/10/2017
Whittier Poets,Bakersfield Roadrunners,11/10/2017
Eastern Oregon Mountaineers,Boise State Broncos,11/10/2017
Life Pacific Warriors,CSUN Matadors,11/10/2017
UAPB Golden Lions,Hawaii Rainbow Warriors,11/11/2017
Long Beach State 49ers,San Francisco Dons,11/11/2017
Canisius Golden Griffins,Buffalo Bulls,11/11/2017
Penn Quakers,Fairfield Stags,11/11/2017
Illinois State Redbirds,FGCU Eagles,11/11/2017
IUPUI Jaguars,Bradley Braves,11/11/2017
Alabama A&M Bulldogs,Ohio Bobcats,11/11/2017
Siena Heights Saints,Western Michigan Broncos,11/11/2017
Dartmouth Big Green,Quinnipiac Bobcats,11/11/2017
Johnson & Wales (RI) Wildcats,Brown Bears,11/11/2017
Coe Kohawks,Drake Bulldogs,11/11/2017
Saint Peter's Peacocks,La Salle Explorers,11/11/2017
Stephen F. Austin Lumberjacks,Longwood Lancers,11/11/2017
Toccoa Falls Eagles,Appalachian State Mountaineers,11/11/2017
Ouachita Baptist Tigers,Little Rock Trojans,11/11/2017
North Dakota State Bison,UC Santa Barbara Gauchos,11/11/2017
St. Francis Brooklyn Terriers,Duquesne Dukes,11/11/2017
Wagner Seahawks,NJIT Highlanders,11/11/2017
Cleveland State Vikings,Akron Zips,11/11/2017
William Peace Pacers,Elon Phoenix,11/11/2017
Lehigh Mountain Hawks,Marist Red Foxes,11/11/2017
North Carolina Wesleyan Battling Bishops,UNCW Seahawks,11/11/2017
Johnson (TN) Royals,Presbyterian Blue Hose,11/11/2017
Saint Joseph's Hawks,Toledo Rockets,11/11/2017
Mayville State Comets,South Dakota Coyotes,11/11/2017
Texas-Tyler Patriots,Sam Houston State Bearkats,11/11/2017
Loyola Marymount Lions,UT Arlington Mavericks,11/11/2017
St. Mary's (MN) Cardinals,Western Illinois Leathernecks,11/11/2017
Mississippi Valley State Delta Devils,BYU Cougars,11/11/2017
Northern New Mexico Eagles,New Mexico Lobos,11/11/2017
Kent State Golden Flashes,Youngstown State Penguins,11/11/2017
Florida A&M Rattlers,UNLV Runnin' Rebels,11/11/2017
Portland State Vikings,Portland Pilots,11/11/2017
Wilmington (OH) Quakers,Northern Kentucky Norse,11/12/2017
Massachusetts-Boston Beacons,Massachusetts-Lowell River Hawks,11/12/2017
Michigan-Dearborn Wolves,Eastern Michigan Eagles,11/12/2017
Massachusetts Minutemen,Harvard Crimson,11/12/2017
Toccoa Falls Eagles,Mercer Bears,11/12/2017
Washington & Lee Generals,Wofford Terriers,11/12/2017
Eureka Red Devils,Loyola Chicago Ramblers,11/12/2017
Allen Yellow Jackets,USC Upstate Spartans,11/12/2017
University of Mary Marauders,South Dakota State Jackrabbits,11/12/2017
Bridgewater (VA) Eagles,Appalachian State Mountaineers,11/12/2017
Texas State Bobcats,Air Force Falcons,11/12/2017
Southern Utah Thunderbirds,Boise State Broncos,11/12/2017
Gordon College Fighting Scots,Hartford Hawks,11/12/2017
Wentworth Leopards,Northeastern Huskies,11/12/2017
Defiance Yellow Jackets,Fort Wayne Mastodons,11/12/2017
Haskell Fighting Indians,UMKC Kangaroos,11/12/2017
San Diego Toreros,San Jose State Spartans,11/12/2017
Bluefield College Ramblin' Rams,Hampton Pirates,11/12/2017
University of the Ozarks Eagles,Central Arkansas Bears,11/12/2017
Morehead State Eagles,Lipscomb Bisons,11/12/2017
LeTourneau YellowJackets,Northwestern State Demons,11/12/2017
UC Irvine Anteaters,Denver Pioneers,11/12/2017
Puget Sound Loggers,Seattle Redhawks,11/12/2017
UAPB Golden Lions,Troy Trojans,11/12/2017
North Dakota Fighting Hawks,Hawaii Rainbow Warriors,11/12/2017
North Carolina Central Eagles,Evansville Aces,11/13/2017
Jacksonville State Gamecocks,Richmond Spiders,11/13/2017
Albany Great Danes,Boston University Terriers,11/13/2017
South Dakota Coyotes,Bowling Green Falcons,11/13/2017
Columbia International Rams,Campbell Fighting Camels,11/13/2017
Binghamton Bearcats,Cornell Big Red,11/13/2017
Michigan-Dearborn Wolves,Detroit Titans,11/13/2017
Arcadia University Knights,Drexel Dragons,11/13/2017
LIU Brooklyn Blackbirds,Fordham Rams,11/13/2017
Kennesaw State Owls,Hofstra Pride,11/13/2017
Lees-McRae Bobcats,UNC Asheville Bulldogs,11/13/2017
New Orleans Privateers,Oakland Golden Grizzlies,11/13/2017
La Salle Explorers,Penn Quakers,11/13/2017
FGCU Eagles,Siena Saints,11/13/2017
Frostburg State Bobcats,Towson Tigers,11/13/2017
North Florida Ospreys,VCU Rams,11/13/2017
Lynchburg Hornets,Norfolk State Spartans,11/13/2017
East Tennessee State Buccaneers,Savannah State Tigers,11/13/2017
Brown Bears,Quinnipiac Bobcats,11/13/2017
Anderson (IN) Ravens,IUPUI Jaguars,11/13/2017
Bakersfield Roadrunners,Georgia Southern Eagles,11/13/2017
Abilene Christian Wildcats,Arkansas State Red Wolves,11/13/2017
Saint Joseph's Hawks,UIC Flames,11/13/2017
Ecclesia Royals,McNeese State Cowboys,11/13/2017
Alcorn State Braves,UNI Panthers,11/13/2017
Alabama A&M Bulldogs,Samford Bulldogs,11/13/2017
Reinhardt Eagles,Tennessee State Tigers,11/13/2017
Bethune-Cookman Wildcats,Texas-Rio Grande Valley Vaqueros,11/13/2017
Trinity Christian Trolls,Valparaiso Crusaders,11/13/2017
Trinity (TX) Tigers,Incarnate Word Cardinals,11/13/2017
Mobile Rams,South Alabama Jaguars,11/13/2017
Embry-Riddle Arizona Eagles,Northern Arizona Lumberjacks,11/13/2017
Rockhurst Hawks,Saint Louis Billikens,11/13/2017
Robert Morris Colonials,Grand Canyon Antelopes,11/13/2017
UC Davis Aggies,Northern Colorado Bears,11/13/2017
Montana State Bobcats,Utah State Aggies,11/13/2017
North Dakota Fighting Hawks,UAPB Golden Lions,11/13/2017
CSUN Matadors,Fresno State Bulldogs,11/13/2017
George Fox Bruins,Idaho Vandals,11/13/2017
Saint Francis U Red Flash,San Francisco Dons,11/13/2017
Rhode Island Rams,Nevada Wolf Pack,11/13/2017
Troy Trojans,Hawaii Rainbow Warriors,11/14/2017
Canisius Golden Griffins,Air Force Falcons,11/14/2017
John Jay Bloodhounds,Army West Point Black Knights,11/14/2017
Emerson Lions,Dartmouth Big Green,11/14/2017
UNCW Seahawks,Davidson Wildcats,11/14/2017
VMI Keydets,Duquesne Dukes,11/14/2017
Loyola Maryland Greyhounds,Fairfield Stags,11/14/2017
Elon Phoenix,Furman Paladins,11/14/2017
Monmouth Hawks,Lehigh Mountain Hawks,11/14/2017
Jackson State Tigers,Mercer Bears,11/14/2017
Wright State Raiders,Miami (OH) RedHawks,11/14/2017
Ohio Northern Polar Bears,Toledo Rockets,11/14/2017
South Carolina State Bulldogs,Yale Bulldogs,11/14/2017
Lafayette Leopards,NJIT Highlanders,11/14/2017
Columbia Lions,Longwood Lancers,11/14/2017
Hardin-Simmons Cowboys,Sam Houston State Bearkats,11/14/2017
Franciscan University Barons,Youngstown State Penguins,11/14/2017
Delaware Fightin' Blue Hens,Bradley Braves,11/14/2017
Arlington Baptist Patriots,Houston Baptist Huskies,11/14/2017
Coastal Carolina Chanticleers,Lamar Cardinals,11/14/2017
Green Bay Phoenix,Northern Illinois Huskies,11/14/2017
Louisiana College Wildcats,Louisiana Ragin' Cajuns,11/14/2017
Alabama State Hornets,South Dakota State Jackrabbits,11/14/2017
Silver Lake Lakers,Chicago State Cougars,11/14/2017
Winthrop Eagles,Colorado State Rams,11/14/2017
Utah Valley Wolverines,Idaho State Bengals,11/14/2017
Omaha Mavericks,New Mexico Lobos,11/14/2017
West Coast Baptist Eagles,Weber State Wildcats,11/14/2017
Chapman Panthers,UC Irvine Anteaters,11/14/2017
San Francisco State Gators,Long Beach State 49ers,11/14/2017
Cal Lutheran Kingsmen,Pepperdine Waves,11/14/2017
Notre Dame de Namur Argonauts,Sacramento State Hornets,11/14/2017
Walla Walla University Wolves,Portland Pilots,11/14/2017
Willamette Bearcats,Portland State Vikings,11/14/2017
Middle Georgia State Knights,Savannah State Tigers,11/15/2017
Southern University Jaguars,Missouri State Bears,11/15/2017
Jacksonville State Gamecocks,Buffalo Bulls,11/15/2017
FDU-Florham Devils,Fairleigh Dickinson Knights,11/15/2017
College of New Rochelle Blue Angels,LIU Brooklyn Blackbirds,11/15/2017
St. Francis Brooklyn Terriers,Manhattan Jaspers,11/15/2017
North Carolina Wesleyan Battling Bishops,UNCG Spartans,11/15/2017
Citadel Bulldogs,North Carolina A&T Aggies,11/15/2017
Navy Midshipmen,Penn Quakers,11/15/2017
BYU Cougars,Princeton Tigers,11/15/2017
Hartford Hawks,Rider Broncs,11/15/2017
Hiwassee College Tigers,Western Carolina Catamounts,11/15/2017
Hampton Pirates,William & Mary Tribe,11/15/2017
Delaware State Hornets,Fort Wayne Mastodons,11/15/2017
Columbia International Rams,Charleston Southern Buccaneers,11/15/2017
Marist Red Foxes,Massachusetts-Lowell River Hawks,11/15/2017
Oakland City Mighty Oaks,Austin Peay Governors,11/15/2017
Wartburg Knights,UNI Panthers,11/15/2017
St. Edwards Hilltoppers,Stephen F. Austin Lumberjacks,11/15/2017
North Carolina Central Eagles,UT Martin Skyhawks,11/15/2017
Eastern Illinois Panthers,Western Illinois Leathernecks,11/15/2017
Valparaiso Crusaders,SIUE Cougars,11/15/2017
Texas-Rio Grande Valley Vaqueros,Texas A&M-Corpus Christi Islanders,11/15/2017
Mississippi Valley State Delta Devils,Utah State Aggies,11/15/2017
Holy Names Hawks,Cal Poly Mustangs,11/15/2017
UC Riverside Highlanders,Loyola Marymount Lions,11/15/2017
Prairie View A&M Panthers,UNLV Runnin' Rebels,11/15/2017
Robert Morris Colonials,San Diego Toreros,11/15/2017
Nevada Wolf Pack,Santa Clara Broncos,11/15/2017
Montana-Western Bulldogs,Montana State Bobcats,11/15/2017
UC Davis Aggies,Pacific Tigers,11/15/2017
Cornell Big Red,Colgate Raiders,11/16/2017
Johnson & Wales (CO) Wildcats,Denver Pioneers,11/16/2017
Kentucky State Thorobreds,Eastern Kentucky Colonels,11/16/2017
Arkansas State Red Wolves,Eastern Michigan Eagles,11/16/2017
Bluefield State Big Blues,Georgia Southern Eagles,11/16/2017
Binghamton Bearcats,George Mason Patriots,11/16/2017
Ohio Christian Trailblazers,Kent State Golden Flashes,11/16/2017
South Alabama Jaguars,La Salle Explorers,11/16/2017
Central Pennsylvania College Knights,UMBC Retrievers,11/16/2017
Lincoln (PA) Lions,Morgan State Bears,11/16/2017
Hiwassee College Tigers,Chattanooga Mocs,11/16/2017
Boyce Bulldogs,Tennessee Tech Golden Eagles,11/16/2017
Piedmont Lions,Kennesaw State Owls,11/16/2017
Harvard Crimson,Holy Cross Crusaders,11/16/2017
Dayton Flyers,Hofstra Pride,11/16/2017
Howard Payne Yellow Jackets,Abilene Christian Wildcats,11/16/2017
Southeast Missouri State Redhawks,Evansville Aces,11/16/2017
Delaware State Hornets,UIC Flames,11/16/2017
Loyola Chicago Ramblers,UMKC Kangaroos,11/16/2017
Southeastern Louisiana Lions,Louisiana-Monroe Warhawks,11/16/2017
LeTourneau YellowJackets,Stephen F. Austin Lumberjacks,11/16/2017
Brewton-Parker College Barons,Troy Trojans,11/16/2017
San Jose State Spartans,Southern Utah Thunderbirds,11/16/2017
Jarvis Christian Bulldogs,Lamar Cardinals,11/16/2017
Vermont Catamounts,Bradley Braves,11/17/2017
Mercer Bears,Liberty Flames,11/17/2017
Illinois State Redbirds,Boise State Broncos,11/17/2017
Northern Kentucky Norse,James Madison Dukes,11/17/2017
Savannah State Tigers,Louisiana Ragin' Cajuns,11/17/2017
Appalachian State Mountaineers,Western Michigan Broncos,11/17/2017
Stony Brook Seawolves,Ball State Cardinals,11/17/2017
Coppin State Eagles,Cleveland State Vikings,11/17/2017
Ohio Bobcats,Dayton Flyers,11/17/2017
Wesley College Wolverines,Delaware Fightin' Blue Hens,11/17/2017
Siena Saints,Lehigh Mountain Hawks,11/17/2017
Towson Tigers,Loyola Maryland Greyhounds,11/17/2017
Ferrum Panthers,UNCG Spartans,11/17/2017
Warren Wilson Owls,North Carolina Central Eagles,11/17/2017
Yale Bulldogs,Albany Great Danes,11/17/2017
McMurry War Hawks,Incarnate Word Cardinals,11/17/2017
Spring Hill Badgers,Nicholls Colonels,11/17/2017
North Dakota State Bison,Missouri State Bears,11/17/2017
Iona Gaels,Weber State Wildcats,11/17/2017
Lakeland Muskies,Green Bay Phoenix,11/17/2017
IUPUI Jaguars,Eastern Illinois Panthers,11/17/2017
Miami (OH) RedHawks,LIU Brooklyn Blackbirds,11/17/2017
New Mexico Lobos,New Mexico State Aggies,11/17/2017
Concordia University-St. Paul Golden Bears,Milwaukee Panthers,11/17/2017
Eastern Washington Eagles,UNLV Runnin' Rebels,11/17/2017
Northern Colorado Bears,Pepperdine Waves,11/17/2017
Sacramento State Hornets,San Francisco Dons,11/17/2017
McNeese State Cowboys,San Diego State Aztecs,11/17/2017
Penn State-Brandywine Nittany Lions,Penn Quakers,11/18/2017
Chicago State Cougars,UNI Panthers,11/18/2017
Eureka Red Devils,Central Michigan Chippewas,11/18/2017
Harvard Crimson,Manhattan Jaspers,11/18/2017
SIUE Cougars,Stetson Hatters,11/18/2017
Presbyterian Blue Hose,VMI Keydets,11/18/2017
Bob Jones University Bruins,Wofford Terriers,11/18/2017
Seattle Redhawks,Detroit Titans,11/18/2017
Howard Bison,Eastern Michigan Eagles,11/18/2017
Kean Cougars,Fairleigh Dickinson Knights,11/18/2017
Hampton Pirates,George Washington Colonials,11/18/2017
American University Eagles,Wagner Seahawks,11/18/2017
James Madison Dukes,Weber State Wildcats,11/18/2017
Citadel Bulldogs,High Point Panthers,11/18/2017
Charleston Southern Buccaneers,USC Upstate Spartans,11/18/2017
Warren Wilson Owls,Gardner-Webb Runnin' Bulldogs,11/18/2017
Saint Francis U Red Flash,Longwood Lancers,11/18/2017
Binghamton Bearcats,Evansville Aces,11/18/2017
Concordia University-St. Paul Golden Bears,Elon Phoenix,11/18/2017
Fort Wayne Mastodons,UIC Flames,11/18/2017
North Florida Ospreys,Mount St. Mary's Mountaineers,11/18/2017
Jackson State Tigers,St. Bonaventure Bonnies,11/18/2017
Central Pennsylvania College Knights,Winthrop Eagles,11/18/2017
Navy Midshipmen,Bryant Bulldogs,11/18/2017
Houston Baptist Huskies,Belmont Bruins,11/18/2017
Vermont Catamounts,Coastal Carolina Chanticleers,11/18/2017
Bethesda Flames,Cal State Fullerton Titans,11/18/2017
South Alabama Jaguars,Maine Black Bears,11/18/2017
Howard Payne Yellow Jackets,Stephen F. Austin Lumberjacks,11/18/2017
UC Davis Aggies,Utah Valley Wolverines,11/18/2017
LIU Brooklyn Blackbirds,Hartford Hawks,11/18/2017
Texas-Rio Grande Valley Vaqueros,Texas State Bobcats,11/18/2017
FGCU Eagles,Bowling Green Falcons,11/18/2017
Mercer Bears,Drexel Dragons,11/18/2017
CSUN Matadors,George Mason Patriots,11/18/2017
North Carolina A&T Aggies,Jacksonville Dolphins,11/18/2017
UT Martin Skyhawks,Akron Zips,11/18/2017
Youngstown State Penguins,Canisius Golden Griffins,11/18/2017
Army West Point Black Knights,Marist Red Foxes,11/18/2017
Campbell Fighting Camels,UNCW Seahawks,11/18/2017
Princeton Tigers,Saint Joseph's Hawks,11/18/2017
Kennesaw State Owls,Tennessee Tech Golden Eagles,11/18/2017
Oakland Golden Grizzlies,Toledo Rockets,11/18/2017
Murray State Racers,Wright State Raiders,11/18/2017
Portland State Vikings,UC Riverside Highlanders,11/18/2017
Sacred Heart Pioneers,Saint Peter's Peacocks,11/18/2017
Northern Kentucky Norse,Iona Gaels,11/18/2017
Illinois-Springfield Prairie Stars,Southern Illinois Salukis,11/18/2017
Calvary Warriors,Western Illinois Leathernecks,11/18/2017
Grambling State Tigers,South Dakota Coyotes,11/18/2017
Little Rock Trojans,Grand Canyon Antelopes,11/18/2017
UT Arlington Mavericks,BYU Cougars,11/18/2017
Sam Houston State Bearkats,Idaho Vandals,11/18/2017
Nevada Wolf Pack,Pacific Tigers,11/18/2017
Norfolk State Spartans,San Diego Toreros,11/18/2017
Cal Poly Mustangs,Santa Clara Broncos,11/18/2017
Quinnipiac Bobcats,Liberty Flames,11/19/2017
Niagara Purple Eagles,Massachusetts Minutemen,11/19/2017
Maine Black Bears,Sacred Heart Pioneers,11/19/2017
Indiana State Sycamores,Ohio Bobcats,11/19/2017
Holy Cross Crusaders,Rhode Island Rams,11/19/2017
Brown Bears,St. Francis Brooklyn Terriers,11/19/2017
Cornell Big Red,Massachusetts-Lowell River Hawks,11/19/2017
Seattle Redhawks,Belmont Bruins,11/19/2017
UMBC Retrievers,Colgate Raiders,11/19/2017
Eastern University Eagles,Lehigh Mountain Hawks,11/19/2017
Bradley Braves,Weber State Wildcats,11/19/2017
North Florida Ospreys,Wofford Terriers,11/19/2017
Curry Colonels,Yale Bulldogs,11/19/2017
Alcorn State Braves,Central Arkansas Bears,11/19/2017
UNC Asheville Bulldogs,Austin Peay Governors,11/19/2017
Mississippi Valley State Delta Devils,Kent State Golden Flashes,11/19/2017
Samford Bulldogs,Loyola Chicago Ramblers,11/19/2017
Bakersfield Roadrunners,Lamar Cardinals,11/19/2017
Southeastern Louisiana Lions,Valparaiso Crusaders,11/19/2017
Southern University Jaguars,North Carolina Central Eagles,11/19/2017
Detroit Titans,Houston Baptist Huskies,11/19/2017
Elon Phoenix,Milwaukee Panthers,11/19/2017
Coastal Carolina Chanticleers,Iona Gaels,11/19/2017
Robert Morris Colonials,Duquesne Dukes,11/19/2017
Drexel Dragons,Drake Bulldogs,11/19/2017
McNeese State Cowboys,Loyola Marymount Lions,11/19/2017
Oregon Tech Hustlin' Owls,Portland Pilots,11/19/2017
South Alabama Jaguars,Saint Peter's Peacocks,11/19/2017
Vermont Catamounts,Northern Kentucky Norse,11/19/2017
Hartford Hawks,Miami (OH) RedHawks,11/19/2017
UMKC Kangaroos,Manhattan Jaspers,11/20/2017
Toccoa Falls Eagles,Charleston Southern Buccaneers,11/20/2017
Georgia Southern Eagles,Missouri State Bears,11/20/2017
Prairie View A&M Panthers,Eastern Kentucky Colonels,11/20/2017
South Dakota State Jackrabbits,Wyoming Cowboys,11/20/2017
Georgia State Panthers,Eastern Washington Eagles,11/20/2017
Penn Quakers,Northern Illinois Huskies,11/20/2017
Jacksonville State Gamecocks,Savannah State Tigers,11/20/2017
Lake Erie Storm,Bowling Green Falcons,11/20/2017
Siena Saints,Bucknell Bison,11/20/2017
Johnson & Wales (NC) Wildcats,Campbell Fighting Camels,11/20/2017
Delaware State Hornets,East Tennessee State Buccaneers,11/20/2017
Albany State Golden Rams,Florida A&M Rattlers,11/20/2017
Rider Broncs,George Washington Colonials,11/20/2017
Webber International Warriors,Jacksonville Dolphins,11/20/2017
Delaware Fightin' Blue Hens,UNCG Spartans,11/20/2017
Maryland Eastern Shore Hawks,St. Bonaventure Bonnies,11/20/2017
Ave Maria Gyrenes,Stetson Hatters,11/20/2017
Tiffin Dragons,Wright State Raiders,11/20/2017
SUNY-Oneonta Red Dragons,Albany Great Danes,11/20/2017
Paine Lions,USC Upstate Spartans,11/20/2017
Alabama State Hornets,Chattanooga Mocs,11/20/2017
Howard Bison,Arkansas State Red Wolves,11/20/2017
Lipscomb Bisons,Abilene Christian Wildcats,11/20/2017
Oral Roberts Golden Eagles,Montana Grizzlies,11/20/2017
Eastern Oregon Mountaineers,Utah Valley Wolverines,11/20/2017
Mount Marty Lancers,South Dakota Coyotes,11/20/2017
UAPB Golden Lions,Air Force Falcons,11/20/2017
Norfolk State Spartans,Grand Canyon Antelopes,11/20/2017
Little Rock Trojans,San Diego Toreros,11/20/2017
Utah State Aggies,Portland State Vikings,11/20/2017
UC Santa Barbara Gauchos,Pepperdine Waves,11/20/2017
Eastern Illinois Panthers,San Diego State Aztecs,11/20/2017
Manhattan Jaspers,Missouri State Bears,11/21/2017
Mars Hill Lions,Winthrop Eagles,11/21/2017
Montana State Bobcats,Binghamton Bearcats,11/21/2017
Louisiana Ragin' Cajuns,Wyoming Cowboys,11/21/2017
CSUN Matadors,Southeast Missouri State Redhawks,11/21/2017
North Carolina Wesleyan Battling Bishops,Delaware Fightin' Blue Hens,11/21/2017
Brevard College Tornados,Gardner-Webb Runnin' Bulldogs,11/21/2017
Savannah State Tigers,Alabama State Hornets,11/21/2017
UMKC Kangaroos,Georgia Southern Eagles,11/21/2017
Trinity Baptist Eagles,Citadel Bulldogs,11/21/2017
Columbia Lions,Army West Point Black Knights,11/21/2017
Grambling State Tigers,Bethune-Cookman Wildcats,11/21/2017
Coppin State Eagles,Central Connecticut State Blue Devils,11/21/2017
Southeastern Louisiana Lions,Kent State Golden Flashes,11/21/2017
Goucher Gophers,Loyola Maryland Greyhounds,11/21/2017
Western Carolina Catamounts,Massachusetts Minutemen,11/21/2017
Goldey-Beacom Lightning,Morgan State Bears,11/21/2017
York (PA) Spartans,Mount St. Mary's Mountaineers,11/21/2017
American University Eagles,New Hampshire Wildcats,11/21/2017
Edward Waters Tigers,North Florida Ospreys,11/21/2017
Franciscan University Barons,Saint Francis U Red Flash,11/21/2017
Ohio Valley Fighting Scots,VMI Keydets,11/21/2017
Staten Island Dolphins,Wagner Seahawks,11/21/2017
Shenandoah Hornets,William & Mary Tribe,11/21/2017
Westminster (PA) Titans,Youngstown State Penguins,11/21/2017
Morehead State Eagles,IUPUI Jaguars,11/21/2017
Longwood Lancers,UNCG Spartans,11/21/2017
Jacksonville State Gamecocks,Chattanooga Mocs,11/21/2017
Penn Quakers,Towson Tigers,11/21/2017
Mid-Atlantic Christian Mustangs,North Carolina A&T Aggies,11/21/2017
Mississippi Valley State Delta Devils,Loyola Chicago Ramblers,11/21/2017
Montana Grizzlies,UC Santa Barbara Gauchos,11/21/2017
Canisius Golden Griffins,Tennessee State Tigers,11/21/2017
Samford Bulldogs,Valparaiso Crusaders,11/21/2017
Methodist Monarchs,High Point Panthers,11/21/2017
Northland LumberJacks,North Dakota Fighting Hawks,11/21/2017
Central Arkansas Bears,South Carolina State Bulldogs,11/21/2017
East-West University Phantoms,Chicago State Cougars,11/21/2017
Northwestern State Demons,Louisiana-Monroe Warhawks,11/21/2017
Evansville Aces,Fresno State Bulldogs,11/21/2017
Pacific Tigers,Air Force Falcons,11/21/2017
Niagara Purple Eagles,BYU Cougars,11/21/2017
Tennessee Tech Golden Eagles,New Mexico Lobos,11/21/2017
Northern New Mexico Eagles,Northern Colorado Bears,11/21/2017
Sacramento State Hornets,UC Davis Aggies,11/21/2017
Davidson Wildcats,Nevada Wolf Pack,11/21/2017
Sonoma State Seawolves,San Francisco Dons,11/21/2017
Benedictine Mesa Redhawks,Southern Utah Thunderbirds,11/21/2017
Oral Roberts Golden Eagles,Pepperdine Waves,11/21/2017
Manhattan Jaspers,Northern Illinois Huskies,11/22/2017
Binghamton Bearcats,CSUN Matadors,11/22/2017
Mitchell Mariners,Sacred Heart Pioneers,11/22/2017
Yale Bulldogs,Alcorn State Braves,11/22/2017
Eastern Kentucky Colonels,Eastern Washington Eagles,11/22/2017
Holy Cross Crusaders,Fairleigh Dickinson Knights,11/22/2017
Boston University Terriers,Maine Black Bears,11/22/2017
South Dakota State Jackrabbits,Buffalo Bulls,11/22/2017
St. Andrews Presbyterian Knights,Coastal Carolina Chanticleers,11/22/2017
Washington College Shoremen,Navy Midshipmen,11/22/2017
Montana State Bobcats,Southeast Missouri State Redhawks,11/22/2017
Delaware Fightin' Blue Hens,Longwood Lancers,11/22/2017
